"titulo","empresa","ubicacion","publicado","enlace","pagina","contrato","requisitos","descripcion","salario"
"Facilitador/a","OMNIA","Álvaro Obregón, Ciudad de México DF","Hace 7 horas","https://mx.computrabajo.com/trabajo-de-gamer#06A3B5E66F39ECDE61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior - Educación Profesional T"",""3 años de experiencia"",""Conocimientos: Adaptación al cambio""]","EDUCACION REQUERIDA Educacion minima requerida: Preparatoria y/o carrera trunca ""Manejo de equipo de computo (hardware, softwares s, dispositivos moviles , manejo de redes sociales "" Conocimientos basico de sistemas operativos HABILIDADES Y APTITUDES Experiencia y buena actitiud para la atencion de clientes Buena comunicacion y trabajo en equipo Pasion por el mundo gamer y tecnologia Proactivo(a) , habilidad para resolucion de problemas de forma eficiente y oportuna ""Control al estres , tener la habilidad de partiencia para poder explicar a todos los usuarios el funcionamiento de los equipos"" Reponsable y comprometido EXPERIENCIA Minimo 3 años inmerso en el mundo gamer y/o tecnologia CUAL SERIA TU ROOL ""Atencion al cliente , asegurando la experiencia wow en el centro de entretenimiento, proporcionando la orientacion en el uso de los dispositivos"" Asitir de manera personal y con amabilidad a cada uno de los usuarios Apoyar en los soporte tecnicos y de mantenimiento basico del centro de entretenimiento Apoyar en lo cumplimentos de los objetivos de la organizacion Contar con disponibilidad de horario Asegurarse del orden y funcionamiento de los equipos ""Horario estimando 40 hrs con horarios de 12:00 pm- 9:00 pm , dos dias de descanso rotativos dependiendo operacion"" SUELDO BRUTO MENSUAL: $12000 MXN PRESTACIONES DE LEY","$ 12,000.00 (Mensual)"
"Facilitador/a","OMNIA","Álvaro Obregón, Ciudad de México DF","Hace 8 horas","https://mx.computrabajo.com/trabajo-de-gamer#112E2F58AB5CF0E261373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior - Educación Profesional T"",""3 años de experiencia"",""Conocimientos: Adaptación al cambio""]","EDUCACION REQUERIDA Educacion minima requerida: Preparatoria y/o carrera trunca Manejo de equipo de computo , dispositivos moviles , manejo de redes sociales Facilidad de manejar plataformas de administracion de servicios HABILIDADES Y APTITUDES Pasion por la atencion al cliente Buena comunicacion Organizado (a) y habilidad para desarrollar varias tareas de forma eficiente Proactivo(a) , habilidad para resolucion de problemas de forma eficiente y oportuna conocimientos basicos de ventas EXPERIENCIA Minimo 3 años en el area de servicio al cliente y/o recepcionista CUAL SERIA TU ROOL Seras la primera persona con el contacto con los clientes y/o usuario ""Gestionaras plataformas propias de la organizacion para visualizar las reservas en linea y pagos correspondientes"" Gestionaras la encuestas de satisfaccion Contar con disponibilida de horario ""Horario estimando 40 hrs con horarios de 12:00 pm- 9:00 pm , dos dias de descanso rotativos dependiendo operacion"" SUELDO BRUTO MENSUAL: $12000 MXN PRESTACIONES DE LEY","$ 12,000.00 (Mensual)"
"Facilitador/a","Cinemex","Metepec, Estado de México","Hace 4 días (actualizada)","https://mx.computrabajo.com/trabajo-de-gamer#2B4FC4766CFA2E0E61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 30 años""]","¡ÚNETE AL EQUIPO DE ARENA THE PLACE TO PLAY EN PASEO INTERLOMAS! Vive la experiencia siendo parte del crew más gamer de Grupo Cinemex. Buscamos: STAFF MULTIFUNCIONAL Requisitos: Tener 18 años o más No necesitas experiencia, solo ganas de aprender Vivir o estudiar cerca de Interlomas Disponibilidad de lunes a domingo, incluyendo días festivos (descanso entre semana) ¿Qué harás? Atender a nuestros jugadores e invitados con buena actitud Apoyar en diferentes áreas: zona gaming, alimentos y atención en salas Mantener el área ordenada y lista para jugar Habilidades que buscamos: Servicio al cliente Solución de problemas Buena comunicación Trabajo bajo presión y en equipo Sentido de urgencia ¿Qué ofrecemos? Pago por hora Prestaciones de ley Seguro de vida Uniforme Contrato directo con Cinemex Estabilidad laboral Si te laten los videojuegos, el cine y quieres trabajar en un ambiente único, postúlate por este medio con tus datos actualizados y pronto nos pondremos en contacto contigo. ¡Te esperamos en la Arena!","A convenir"
"Facilitador/a","Cinemex","Huixquilucan, Estado de México","Hace 7 días (actualizada)","https://mx.computrabajo.com/trabajo-de-gamer#492EF11A910F9AB761373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General""]","¡ÚNETE AL EQUIPO DE ARENA THE PLACE TO PLAY EN PASEO INTERLOMAS! Vive la experiencia siendo parte del crew más gamer de Grupo Cinemex. Buscamos: STAFF MULTIFUNCIONAL Requisitos: Tener 18 años o más No necesitas experiencia, solo ganas de aprender Vivir o estudiar cerca de Interlomas Disponibilidad de lunes a domingo, incluyendo días festivos (descanso entre semana) ¿Qué harás? Atender a nuestros jugadores e invitados con buena actitud Apoyar en diferentes áreas: zona gaming, alimentos y atención en salas Mantener el área ordenada y lista para jugar Habilidades que buscamos: Servicio al cliente Solución de problemas Buena comunicación Trabajo bajo presión y en equipo Sentido de urgencia ¿Qué ofrecemos? Pago por hora Prestaciones de ley Seguro de vida Uniforme Contrato directo con Cinemex Estabilidad laboral Si te laten los videojuegos, el cine y quieres trabajar en un ambiente único, postúlate por este medio con tus datos actualizados y pronto nos pondremos en contacto contigo. ¡Te esperamos en la Arena!","A convenir"
"Facilitador/a","Smart Jobs","Naucalpan de Juárez, Estado de México","Hace 1 hora atrás (actualizada)","https://mx.computrabajo.com/trabajo-de-gamer#96C6B4F9EF6B5F7E61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 20 y 99 años""]","¿Te apasiona el mundo gamer y la tecnología? ¡Únete a una experiencia única como parte del equipo en una zona de realidad virtual ubicada en Plaza Cúspide (Lomas Verdes)! Buscamos personas entusiastas, sociables y con ganas de aprender para brindar una experiencia inolvidable a nuestros clientes. ¿Qué harás? Recibir y acompañar a los clientes en su aventura de juego Monitorear las áreas de juego y el correcto funcionamiento de los equipos VR Apoyar en la limpieza y el orden del área Gestionar citas, recordatorios y atención vía telefónica Uso de caja registradora ¡Probar nuevos videojuegos! ¿Qué necesitas? Bachillerato concluido Buena presentación Conocimientos básicos de computación, videojuegos y consolas Gusto por los videojuegos, la tecnología y trato con clientes Actitud sociable, enérgica y amable Multitarea y buena tolerancia al estrés No necesitas experiencia, ¡nosotros te capacitamos! Horario y descanso Turnos rotativos 2 días de descanso a la semana Zona: Plaza Cúspide, Lomas Verdes ¿Te interesa? Postúlate ahora y vive el trabajo como nunca antes: entre juegos, tecnología y mucha interacción.","$ 10,000.00 (Mensual)"
"Facilitador/a","GRUPO SAFI","San Pedro Garza García, Nuevo León","Hace 4 días (actualizada)","https://mx.computrabajo.com/trabajo-de-gamer#A5699F369CD7000461373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación primaria"",""Edad: entre 19 y 55 años""]","Cine vip ubicado en la colonia valle oriente municipio de San Pedro solicita personal para las siguientes áreas: 2 personas para limpieza general turno de día 7am a 3pm (único horario en limpieza) 1 meser@ para turno de cierre 3pm a 11pm (único horario para meser@) Lunes a Domingo descanso entre semana Ofrecemos Sueldo base desde $8500 a $10,000 según el puesto a aplicar Bono mensual de resultados de $500 a $1,600 según el puesto a aplicar Propinas semanales extras al sueldo de aproximadamente $1,500 hasta $3,500 x semana o mas (según el puesto) Premio mensual pya $500 Comedor subsidiado Descuento en cine Vales de despensa Caja de ahorro Seguro de vida Gimnasio privado Sala Gamer para tu uso Áreas de descanso y diversión Servicio medico privado Psicólogo Masajes antiestrés Todas las prestaciones de ley Muchos mas beneficios","$ 8,500.00 (Mensual)"
"Facilitador/a","GALEX GAME CENTER","Tonalá, Jalisco","Hace 6 días","https://mx.computrabajo.com/trabajo-de-gamer#78498001415CFAD861373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""1 año de experiencia"",""Edad: entre 23 y 38 años""]","¡¡GALEX está buscando un Subgerente de Sucursal en PLAZA LOMAS!! Experiencia y gusto por la atención al cliente y los videojuegos. Responsabilidades principales: Supervisar la operatividad diaria de la tienda. Realizar cortes y arqueos de caja. Elaborar reportes de ventas. Controlar costos, márgenes de ganancia y rentabilidad. Manejo de efectivo Control de inventario Limpieza y organización. Requisitos del Puesto Formación y Experiencia Preparatoria Concluida Conocimiento en gestión de inventarios y atención al cliente. Experiencia en manejo de personal y liderazgo de equipos. Habilidades y Conocimientos Pasión y conocimiento sobre la industria GAMER Capacidad de análisis y solución de problemas operativos. Habilidades de comunicación y servicio al cliente. Organización y planificación estratégica. Beneficios -Vales de despensa mensuales ($945.00) -Salario mensual brutos ($13,500.00) -Uniforme -Prestaciones de ley -Seguro de vida -Descanso pagado por cumpleaños -Bonos por metas de ventas Ubicación: GALEX PLAZA LOMAS","$ 13,000.00 (Mensual)"
